"Access","Access Start (UTCG)","Access End (UTCG)","Duration (sec)","Asset Full Name"
1956,17 Dec 2021 02:29:25.591,17 Dec 2021 02:33:05.055,219.464,"Mingenew"
1957,17 Dec 2021 02:41:40.786,17 Dec 2021 02:44:28.191,167.405,"Awarua"
1958,17 Dec 2021 03:37:45.325,17 Dec 2021 03:39:38.959,113.634,"Nemea"
1959,17 Dec 2021 03:44:50.730,17 Dec 2021 03:48:01.021,190.292,"Dubai"
1960,17 Dec 2021 04:18:16.140,17 Dec 2021 04:21:20.176,184.036,"Awarua"
1961,17 Dec 2021 05:09:47.533,17 Dec 2021 05:10:52.708,65.175,"Puertollano"
1962,17 Dec 2021 05:13:48.267,17 Dec 2021 05:16:02.385,134.118,"Nemea"
1963,17 Dec 2021 05:30:54.560,17 Dec 2021 05:34:04.965,190.405,"Mauritius"
1964,17 Dec 2021 05:54:20.856,17 Dec 2021 05:58:02.744,221.887,"Awarua"
1965,17 Dec 2021 06:22:06.107,17 Dec 2021 06:25:44.081,217.974,"Los_Angeles"
1966,17 Dec 2021 06:42:11.489,17 Dec 2021 06:43:17.667,66.178,"Azores"
1967,17 Dec 2021 06:45:09.372,17 Dec 2021 06:48:08.333,178.961,"Puertollano"
1968,17 Dec 2021 07:49:30.663,17 Dec 2021 07:53:02.563,211.900,"Hawaii"
1969,17 Dec 2021 08:17:33.566,17 Dec 2021 08:20:33.117,179.551,"Azores"
1970,17 Dec 2021 08:21:28.856,17 Dec 2021 08:24:25.728,176.872,"Maspalomas"
1971,17 Dec 2021 08:39:41.716,17 Dec 2021 08:42:28.563,166.847,"Hartebeesthoek"
1972,17 Dec 2021 10:37:31.264,17 Dec 2021 10:40:31.673,180.409,"Mingenew"
1973,17 Dec 2021 13:03:25.027,17 Dec 2021 13:06:35.027,190.000,"Panama"
1974,17 Dec 2021 13:54:04.696,17 Dec 2021 13:57:26.039,201.342,"Singapore"
1975,17 Dec 2021 14:04:08.363,17 Dec 2021 14:07:50.651,222.288,"Jeju"
1976,17 Dec 2021 14:07:10.045,17 Dec 2021 14:10:00.247,170.202,"Tokyo"
1977,17 Dec 2021 14:28:04.341,17 Dec 2021 14:31:38.242,213.902,"Los_Angeles"
1978,17 Dec 2021 14:50:05.939,17 Dec 2021 14:53:45.231,219.292,"Cordoba"
1979,17 Dec 2021 15:18:13.272,17 Dec 2021 15:21:40.923,207.651,"Mauritius"
1980,17 Dec 2021 15:29:32.598,17 Dec 2021 15:30:53.422,80.823,"Bangladore"
1981,17 Dec 2021 16:48:31.577,17 Dec 2021 16:51:45.946,194.369,"Hartebeesthoek"
1982,17 Dec 2021 17:37:11.526,17 Dec 2021 17:40:42.249,210.724,"Hawaii"
1983,17 Dec 2021 18:04:30.253,17 Dec 2021 18:08:02.842,212.590,"Punta_Arenas"
1984,17 Dec 2021 18:05:15.775,17 Dec 2021 18:08:35.706,199.931,"Tolhuin"
1985,17 Dec 2021 18:39:48.888,17 Dec 2021 18:42:56.605,187.717,"Dubai"
1986,17 Dec 2021 19:40:31.378,17 Dec 2021 19:44:14.889,223.511,"Punta_Arenas"
1987,17 Dec 2021 19:41:13.015,17 Dec 2021 19:44:38.029,205.014,"Tolhuin"
1988,17 Dec 2021 20:35:57.227,17 Dec 2021 20:39:28.800,211.573,"Tokyo"
1989,17 Dec 2021 21:17:03.874,17 Dec 2021 21:19:40.932,157.057,"Punta_Arenas"
1990,17 Dec 2021 21:49:01.082,17 Dec 2021 21:52:34.062,212.981,"Nemea"
1991,17 Dec 2021 22:10:21.011,17 Dec 2021 22:13:54.945,213.934,"Jeju"
1992,17 Dec 2021 22:57:01.289,17 Dec 2021 23:00:43.933,222.645,"Cordoba"
1993,17 Dec 2021 23:17:04.068,17 Dec 2021 23:20:44.107,220.039,"Maspalomas"
